subj_age_group,stop_resolution,weapon,off_gender,off_race,subj_perceived_race,subj_perceived_gender,call_type,frisk_flag,beat,date,off_age
46 - 55,0,None,0,White,White,0,None,0,R,2018,29
46 - 55,1,None,0,White,White,0,None,0,L,2018,26
46 - 55,0,None,1,White,Black or African American,0,None,0,W,2016,45
46 - 55,0,None,0,White,White,0,None,0,S,2019,29
46 - 55,0,None,0,White,Black or African American,0,None,0,N,2016,35
1 - 17,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,None,0,J,2015,33
1 - 17,0,None,1,White,Black or African American,0,None,0,K,2015,30
1 - 17,1,None,0,White,American Indian or Alaska Native,0,None,1,G,2015,23
1 - 17,0,None,1,White,Black or African American,0,None,0,K,2015,30
1 - 17,0,None,0,White,Hispanic,0,None,0,O,2015,46
1 - 17,0,None,0,Black or African American,Multi-Racial,0,None,0,F,2015,46
1 - 17,0,None,0,White,Black or African American,0,None,0,Q,2015,27
1 - 17,0,None,0,White,Multi-Racial,1,None,0,R,2015,31
1 - 17,0,None,0,White,Multi-Racial,0,None,0,R,2015,31
1 - 17,0,None,0,Asian,Black or African American,0,None,0,C,2015,62
1 - 17,0,None,0,White,Black or African American,0,None,0,L,2015,29
1 - 17,0,None,0,White,Asian,1,None,0,R,2015,31
1 - 17,0,None,0,White,White,0,None,0,U,2015,46
1 - 17,0,None,0,White,Multi-Racial,0,0,1,G,2015,31
1 - 17,0,None,0,Asian,White,1,0,0,C,2015,33
1 - 17,0,Firearm,0,White,Black or African American,0,0,1,G,2015,31
1 - 17,0,None,0,White,Black or African American,0,0,0,C,2015,39
1 - 17,0,None,0,Asian,Black or African American,1,0,0,G,2015,33
1 - 17,1,None,0,White,American Indian or Alaska Native,0,None,1,E,2015,23
1 - 17,0,None,0,White,Black or African American,1,0,1,G,2015,25
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,42
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,42
1 - 17,0,None,0,American Indian/Alaska Native,Black or African American,1,0,1,R,2015,32
1 - 17,0,None,0,White,White,0,0,1,W,2015,37
1 - 17,1,None,0,White,White,0,0,1,L,2015,30
1 - 17,0,None,0,White,Asian,1,1,0,R,2015,34
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,36
1 - 17,0,Blade,0,American Indian/Alaska Native,American Indian or Alaska Native,1,None,1,U,2015,45
1 - 17,0,Blade,0,Hispanic or Latino,Black or African American,1,None,1,G,2015,60
1 - 17,1,None,1,White,Black or African American,1,0,0,G,2015,30
1 - 17,0,None,0,Asian,White,1,0,0,C,2015,33
1 - 17,0,None,1,White,American Indian or Alaska Native,1,0,0,G,2015,35
1 - 17,0,None,1,White,Black or African American,1,0,0,G,2015,27
1 - 17,0,None,0,White,Black or African American,0,None,0,Q,2016,30
1 - 17,1,None,0,White,Black or African American,0,0,1,G,2015,25
1 - 17,0,None,0,White,Black or African American,0,0,0,L,2015,42
